ID_Client,Âge,Revenu_annuel,Score_depenses,Experience_travail,Taille_famille,cluster,Genre,Profession
1,19.0,8439.031200000001,39.0,1.0,4.0,4.0,Male,Healthcare
2,21.0,19691.0728,81.0,3.0,3.0,4.0,Male,Engineer
3,20.0,48383.778880000005,6.0,1.0,1.0,1.0,Female,Engineer
4,23.0,33193.52272000001,77.0,0.0,2.0,2.0,Female,Lawyer
5,31.0,21378.879040000003,40.0,2.0,6.0,4.0,Female,Entertainment
6,22.0,32630.92064,76.0,0.0,2.0,2.0,Female,Artist
7,35.0,17440.664480000003,6.0,1.0,3.0,4.0,Female,Healthcare
8,23.0,47258.57472,94.0,1.0,3.0,1.0,Female,Healthcare
9,64.0,54572.40176,3.0,0.0,3.0,1.0,Male,Engineer
10,30.0,55135.003840000005,72.0,1.0,4.0,1.0,Female,Artist
11,67.0,3938.214560000001,14.0,1.0,3.0,4.0,Male,Engineer
12,35.0,52321.99344000001,99.0,4.0,4.0,1.0,Female,Healthcare
13,58.0,45008.16640000001,15.0,0.0,5.0,2.0,Female,Executive
14,24.0,51196.78928000001,77.0,1.0,1.0,1.0,Female,Lawyer
15,37.0,10689.439520000002,13.0,0.0,1.0,4.0,Male,Doctor
16,22.0,28692.706080000007,79.0,1.0,2.0,2.0,Male,Healthcare
17,35.0,16315.46032,35.0,9.0,5.0,4.0,Female,Homemaker
18,20.0,50071.58512000001,66.0,1.0,6.0,1.0,Male,Healthcare
19,52.0,11252.041600000002,29.0,1.0,4.0,4.0,Male,Entertainment
20,35.0,34881.328960000006,98.0,0.0,1.0,2.0,Female,Artist
21,35.0,54009.79968,35.0,12.0,1.0,1.0,Male,Homemaker
22,25.0,2250.4083200000005,73.0,3.0,4.0,4.0,Male,Healthcare
23,46.0,23629.28736,5.0,13.0,2.0,4.0,Female,Artist
24,31.0,39944.74768000001,73.0,5.0,2.0,2.0,Male,Artist
25,54.0,37694.339360000005,14.0,1.0,3.0,2.0,Female,Executive
26,29.0,29255.308160000004,82.0,1.0,3.0,2.0,Male,Artist
27,45.0,38256.94144,32.0,9.0,8.0,2.0,Female,Healthcare
28,35.0,43882.96224000001,61.0,1.0,3.0,2.0,Male,Artist
29,40.0,10126.83744,31.0,0.0,1.0,4.0,Female,Artist
30,23.0,11252.041600000002,87.0,5.0,4.0,4.0,Female,Artist
31,60.0,21941.481120000004,4.0,0.0,3.0,4.0,Male,Artist
32,21.0,19128.47072,73.0,1.0,2.0,4.0,Female,Doctor
33,53.0,33193.52272000001,4.0,1.0,3.0,2.0,Male,Healthcare
34,18.0,34881.328960000006,92.0,9.0,7.0,2.0,Male,Homemaker
35,49.0,51196.78928000001,14.0,1.0,2.0,1.0,Female,Lawyer
36,21.0,53447.19760000001,81.0,3.0,4.0,1.0,Female,Healthcare
37,42.0,7876.429120000002,17.0,5.0,1.0,4.0,Female,Doctor
38,30.0,34881.328960000006,73.0,1.0,5.0,2.0,Female,Healthcare
39,36.0,5063.418720000001,26.0,8.0,2.0,4.0,Female,Artist
40,20.0,38819.54352000001,75.0,8.0,2.0,2.0,Female,Artist
41,65.0,14065.052,35.0,4.0,1.0,4.0,Female,Artist
42,24.0,47821.1768,92.0,0.0,2.0,1.0,Male,Healthcare
